City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Punta Arenas,CL,2022-04-26 18:40:01,-53.15,-70.9167,42.91,61,75,10.36
68,Takaungu,KE,2022-04-26 18:40:02,-3.6837,39.8566,80.56,78,94,12.35
69,Arraial Do Cabo,BR,2022-04-26 18:32:54,-22.9661,-42.0278,84.16,78,0,17.27
70,Orchard Homes,US,2022-04-26 18:36:48,46.8633,-114.0484,58.28,53,100,4.61
71,Port Hardy,CA,2022-04-26 18:40:02,50.6996,-127.4199,46.58,81,75,6.91
72,Xiamen,CN,2022-04-26 18:40:03,24.4798,118.0819,73.45,94,0,2.24
73,Gravdal,NO,2022-04-26 18:40:03,68.1214,13.5031,31.33,52,100,18.61
74,Bredasdorp,ZA,2022-04-26 18:33:29,-34.5322,20.0403,56.77,73,0,1.81
75,Lerwick,GB,2022-04-26 18:40:04,60.1545,-1.1494,44.6,61,50,12.86
76,Aklavik,CA,2022-04-26 18:38:02,68.2191,-135.0107,29.52,92,78,5.75
77,Lagoa,PT,2022-04-26 18:40:04,39.05,-27.9833,61.36,81,100,20.98
78,La Asuncion,VE,2022-04-26 18:40:04,11.0333,-63.8628,80.91,79,100,12.08
79,Vadlapudi,IN,2022-04-26 18:40:05,14.3167,79.8,82.08,74,2,10.16
80,Codrington,AU,2022-04-26 18:36:50,-38.2667,141.9667,59.74,78,100,8.55
81,Atasu,KZ,2022-04-26 18:40:05,48.6814,71.6433,50.94,42,95,6.26
82,Canavieiras,BR,2022-04-26 18:40:06,-15.675,-38.9472,80.83,70,40,7.81
83,Airai,TL,2022-04-26 18:33:32,-8.9266,125.4092,58.68,89,99,0.69
84,Manaus,BR,2022-04-26 18:40:06,-3.1019,-60.025,90.1,62,40,8.05
85,Salym,RU,2022-04-26 18:40:06,60.0625,71.4789,35.8,93,23,6.44
86,Ostrovnoy,RU,2022-04-26 18:40:07,68.0531,39.5131,17.6,69,3,16.28
87,Makhachkala,RU,2022-04-26 18:40:07,42.9764,47.5024,51.78,60,100,16.08
88,Wagar,SD,2022-04-26 18:40:07,16.1525,36.2032,96.49,8,100,5.75
89,Erenhot,CN,2022-04-26 18:40:08,43.6475,111.9767,39.83,25,100,4.5
90,Tuktoyaktuk,CA,2022-04-26 18:40:08,69.4541,-133.0374,14.0,85,100,6.91
91,Olden,NO,2022-04-26 18:40:08,61.8364,6.8064,43.54,82,100,5.77
92,East London,ZA,2022-04-26 18:41:09,-33.0153,27.9116,61.74,77,0,10.36
93,San Vicente,AR,2022-04-26 18:41:09,-26.6167,-54.1333,86.13,48,3,6.29
94,Cape Town,ZA,2022-04-26 18:36:55,-33.9258,18.4232,61.27,71,0,17.27
95,Wewak,PG,2022-04-26 18:41:09,-3.5534,143.6268,80.62,80,53,5.53
96,Thompson,CA,2022-04-26 18:36:31,55.7435,-97.8558,33.96,29,0,8.05
97,Jamestown,US,2022-04-26 18:41:06,42.097,-79.2353,48.52,57,100,10.36
98,Yulara,AU,2022-04-26 18:41:10,-25.2406,130.9889,57.04,51,100,5.75
99,Beinamar,TD,2022-04-26 18:41:10,8.6698,15.3813,90.82,34,100,3.69
100,Srednekolymsk,RU,2022-04-26 18:41:11,67.45,153.6833,16.09,95,100,13.06
101,Vila Franca Do Campo,PT,2022-04-26 18:41:11,37.7167,-25.4333,63.01,76,39,9.64
102,Ponta Delgada,PT,2022-04-26 18:41:11,37.7333,-25.6667,63.32,77,20,12.66
103,Puruliya,IN,2022-04-26 18:41:12,23.3333,86.3667,83.89,43,45,6.89
104,Qaanaaq,GL,2022-04-26 18:41:12,77.484,-69.3632,17.01,75,21,3.31
105,Kahului,US,2022-04-26 18:41:12,20.8947,-156.47,75.22,81,40,13.8
106,Butaritari,KI,2022-04-26 18:41:13,3.0707,172.7902,80.94,83,33,18.72
107,Edd,ER,2022-04-26 18:41:13,13.9297,41.6925,86.63,68,99,15.17
108,Lasa,IT,2022-04-26 18:41:13,46.6166,10.7002,49.08,94,75,5.48
109,Zolochiv,UA,2022-04-26 18:41:14,49.806,24.8944,45.37,92,70,4.81
110,Casper,US,2022-04-26 18:41:14,42.8666,-106.3131,63.72,30,0,16.11
111,Delta Del Tigre,UY,2022-04-26 18:41:14,-34.7633,-56.3853,79.21,65,20,16.11
112,Semirom,IR,2022-04-26 18:41:15,31.4167,51.5667,49.87,63,90,3.13
113,La Ronge,CA,2022-04-26 18:41:15,55.1001,-105.2842,41.22,26,0,17.27
114,Pevek,RU,2022-04-26 18:41:15,69.7008,170.3133,23.22,72,100,8.05
115,North Bend,US,2022-04-26 18:39:01,43.4065,-124.2243,55.24,82,75,9.22
116,Saint George,US,2022-04-26 18:36:55,37.1041,-113.5841,81.63,11,0,4.0
117,Plainview,US,2022-04-26 18:40:34,40.7765,-73.4673,61.79,75,100,5.75
118,Jardim,BR,2022-04-26 18:38:28,-21.4803,-56.1381,93.97,37,85,8.86
119,Palasa,IN,2022-04-26 18:41:16,18.7667,84.4167,79.2,90,0,8.55
120,Luderitz,NA,2022-04-26 18:41:16,-26.6481,15.1594,66.63,45,0,10.47
121,Brae,GB,2022-04-26 18:41:17,60.3964,-1.353,42.82,60,85,11.1
122,Husavik,IS,2022-04-26 18:41:17,66.0449,-17.3389,39.49,94,100,0.72
123,Morant Bay,JM,2022-04-26 18:41:17,17.8815,-76.4093,83.82,72,73,9.71
124,Waipawa,NZ,2022-04-26 18:41:18,-41.4122,175.5153,50.52,86,47,3.67
125,Chicama,PE,2022-04-26 18:41:18,-7.8447,-79.1469,64.94,62,23,10.49
126,Maltahohe,NA,2022-04-26 18:41:18,-24.8333,16.9833,66.49,35,40,3.24
127,Bethel,US,2022-04-26 18:41:19,41.3712,-73.414,56.62,90,100,3.44
128,Brumado,BR,2022-04-26 18:40:54,-14.2036,-41.6653,88.81,29,0,10.4
129,Mahebourg,MU,2022-04-26 18:41:19,-20.4081,57.7,77.29,83,75,9.22
130,Corrente,BR,2022-04-26 18:41:19,-3.7367,-43.3394,87.96,57,89,4.45
131,Diamantino,BR,2022-04-26 18:41:20,-14.4086,-56.4461,93.04,35,37,6.6
132,Salalah,OM,2022-04-26 18:37:39,17.0151,54.0924,84.29,70,20,4.61
133,Taltal,CL,2022-04-26 18:41:20,-25.4,-70.4833,65.03,75,100,5.55
134,Praia Da Vitoria,PT,2022-04-26 18:41:21,38.7333,-27.0667,66.45,72,40,17.29
135,Monywa,MM,2022-04-26 18:41:21,22.1167,95.1333,92.25,25,0,4.52
136,Khatanga,RU,2022-04-26 18:41:21,71.9667,102.5,10.13,94,100,6.67
137,Fortuna,US,2022-04-26 18:39:22,40.5982,-124.1573,57.92,61,40,17.27
138,Magadan,RU,2022-04-26 18:41:22,59.5667,150.8,20.53,71,16,5.79
139,Wuwei,CN,2022-04-26 18:41:22,37.9281,102.6414,51.35,17,99,6.2
140,Mar Del Plata,AR,2022-04-26 18:41:19,-38.0023,-57.5575,71.62,87,75,15.99
141,Coquimbo,CL,2022-04-26 18:42:23,-29.9533,-71.3436,64.13,72,75,11.5
142,Sambava,MG,2022-04-26 18:40:29,-14.2667,50.1667,74.7,83,83,7.38
143,Sisimiut,GL,2022-04-26 18:42:23,66.9395,-53.6735,33.76,93,100,16.06
144,Ahipara,NZ,2022-04-26 18:36:53,-35.1667,173.1667,61.43,75,92,6.42
145,Iberia,US,2022-04-26 18:42:23,29.9502,-91.7507,78.98,60,0,8.05
146,Goundi,TD,2022-04-26 18:42:24,9.3627,17.366,90.43,35,93,1.83
147,Motozintla,MX,2022-04-26 18:42:24,15.3667,-92.2333,78.12,54,84,2.51
148,Yangambi,CD,2022-04-26 18:42:24,0.8102,24.4336,71.02,91,59,4.25
149,Ribeira Grande,PT,2022-04-26 18:42:25,38.5167,-28.7,64.8,82,40,16.11
150,Vavuniya,LK,2022-04-26 18:42:25,8.7514,80.4971,75.38,91,65,3.0
151,Sioux Lookout,CA,2022-04-26 18:42:25,50.1001,-91.917,24.87,42,75,6.91
152,Domoni,KM,2022-04-26 18:42:26,-12.2569,44.5319,79.48,81,23,1.52
153,Mount Gambier,AU,2022-04-26 18:38:08,-37.8333,140.7667,58.91,82,100,9.22
154,Asau,RO,2022-04-26 18:42:26,46.4333,26.4,58.12,85,33,2.93
155,High Level,CA,2022-04-26 18:42:27,58.5169,-117.136,46.51,53,40,6.91
156,Altayskoye,RU,2022-04-26 18:42:27,51.9533,85.3325,44.71,63,98,5.75
157,Richmond,US,2022-04-26 18:40:59,37.5538,-77.4603,84.65,62,75,6.91
158,Diego De Almagro,CL,2022-04-26 18:42:27,-26.3667,-70.05,71.78,29,100,10.85
